Wavelength [nm],Transmission [dB]
844.200,-68.056
845.600,-66.784
847.000,-65.801
848.400,-66.090
849.800,-66.400
851.200,-66.360
852.600,-66.676
854.000,-67.016
855.400,-66.287
856.800,-65.663
858.200,-65.501
859.600,-65.809
861.000,-66.141
862.400,-66.506
863.800,-66.906
865.200,-67.102
866.600,-65.976
868.000,-65.083
869.400,-64.611
870.800,-64.186
872.200,-64.336
873.600,-64.739
875.000,-65.183
876.400,-65.226
877.800,-65.269
879.200,-65.134
880.600,-64.001
882.000,-63.104
883.400,-62.752
884.800,-62.427
886.200,-62.706
887.600,-63.498
889.000,-64.467
890.400,-63.923
891.800,-63.440
893.200,-62.604
894.600,-62.146
896.000,-61.732
897.400,-62.377
898.800,-63.135
900.200,-64.721
901.600,-64.983
903.000,-65.261
904.400,-64.272
905.800,-63.466
907.200,-62.961
908.600,-63.266
910.000,-63.595
911.400,-64.122
912.800,-64.722
914.200,-65.106
915.600,-64.149
917.000,-63.365
918.400,-62.431
919.800,-61.663
921.200,-61.732
922.600,-62.137
924.000,-62.584
925.400,-62.925
926.800,-63.294
928.200,-64.107
929.600,-63.881
931.000,-63.667
932.400,-63.556
933.800,-63.448
935.200,-63.946
936.600,-64.477
938.000,-65.081
939.400,-64.955
940.800,-64.832
942.200,-65.475
943.600,-65.286
945.000,-65.105
946.400,-64.961
947.800,-64.821
949.200,-64.626
950.600,-64.147
952.000,-63.715
953.400,-63.745
954.800,-63.776
956.200,-64.124
957.600,-64.440
959.000,-64.782
960.400,-64.289
961.800,-63.847
963.200,-63.897
964.600,-63.312
966.000,-62.796
967.400,-62.696
968.800,-62.598
970.200,-63.162
971.600,-63.697
973.000,-64.307
974.400,-64.282
975.800,-64.258
977.200,-64.577
978.600,-64.374
980.000,-64.181
981.400,-64.231
982.800,-64.281
984.200,-64.847
985.600,-65.847
987.000,-67.148
988.400,-67.502
989.800,-67.888
991.200,-67.980
992.600,-67.746
994.000,-67.525
995.400,-67.803
996.800,-68.100
998.200,-67.469
999.600,-69.013
1001.000,-71.430
1002.400,-70.925
1003.800,-70.474
1005.200,-70.075
1006.600,-68.694
1008.000,-67.648
1009.400,-68.055
1010.800,-68.503
1012.200,-69.577
1013.600,-69.894
1015.000,-70.236
1016.400,-71.137
1017.800,-72.274
1019.200,-70.093
1020.600,-68.560
1022.000,-67.429
1023.400,-66.921
1024.800,-66.466
1026.200,-65.916
1027.600,-66.860
1029.000,-68.067
1030.400,-66.986
1031.800,-66.121
1033.200,-66.583
1034.600,-65.941
1036.000,-65.382
1037.400,-63.936
1038.800,-62.853
1040.200,-62.697
1041.600,-62.992
1043.000,-63.309
1044.400,-63.893
1045.800,-64.568
1047.200,-63.956
1048.600,-63.695
1050.000,-63.449
1051.400,-63.448
1052.800,-63.447
1054.200,-63.108
1055.600,-62.411
1057.000,-61.811
1058.400,-61.786
1059.800,-61.760
1061.200,-62.097
1062.600,-52.394
1064.000,-49.622
1065.400,-49.717
1066.800,-49.815
1068.200,-61.043
1069.600,-61.806
1071.000,-62.733
1072.400,-61.830
1073.800,-61.082
1075.200,-59.834
1076.600,-59.340
1078.000,-58.896
1079.400,-59.094
1080.800,-59.303
1082.200,-59.448
1083.600,-59.398
1085.000,-59.349
1086.400,-59.850
1087.800,-60.418
1089.200,-61.548
1090.600,-61.533
1092.000,-61.517
1093.400,-60.957
1094.800,-60.460
1096.200,-60.628
1097.600,-61.110
1099.000,-61.653
1100.400,-61.903
1101.800,-62.167
1103.200,-61.785
1104.600,-62.442
1106.000,-63.218
1107.400,-64.340
1108.800,-65.856
1110.200,-65.836
1111.600,-65.221
1113.000,-64.681
1114.400,-64.389
1115.800,-64.115
1117.200,-64.796
1118.600,-64.639
1120.000,-64.487
1121.400,-64.136
1122.800,-63.810
1124.200,-64.085
1125.600,-64.815
1127.000,-65.694
1128.400,-66.400
1129.800,-67.243
1131.200,-66.258
1132.600,-65.114
1134.000,-64.210
1135.400,-63.845
1136.800,-63.508
1138.200,-63.746
1139.600,-64.094
1141.000,-64.473
1142.400,-64.088
1143.800,-63.734
1145.200,-63.942
1146.600,-64.628
1148.000,-65.443
1149.400,-66.121
1150.800,-66.924
1152.200,-65.141
1153.600,-64.061
1155.000,-63.197
1156.400,-63.319
1157.800,-63.445
1159.200,-64.145
1160.600,-64.199
1162.000,-64.253
1163.400,-64.107
1164.800,-63.966
1166.200,-64.024
1167.600,-64.850
1169.000,-65.871
1170.400,-66.625
1171.800,-67.539
1173.200,-66.909
1174.600,-66.118
1176.000,-65.450
1177.400,-65.234
1178.800,-65.029
1180.200,-64.925
1181.600,-64.918
1183.000,-64.911
1184.400,-64.198
1185.800,-63.585
1187.200,-63.105
1188.600,-63.474
1190.000,-63.877
1191.400,-65.240
1192.800,-67.236
1194.200,-67.341
1195.600,-66.714
1197.000,-66.167
1198.400,-65.404
1199.800,-64.756
1201.200,-65.130
1202.600,-65.094
1204.000,-65.058
1205.400,-64.967
1206.800,-64.877
1208.200,-64.623
1209.600,-64.744
1211.000,-64.869
1212.400,-65.986
1213.800,-67.492
1215.200,-68.620
1216.600,-69.202
1218.000,-69.874
1219.400,-69.077
1220.800,-68.404
1222.200,-68.259
1223.600,-68.160
1225.000,-68.064
1226.400,-67.902
1227.800,-67.746
1229.200,-67.544
1230.600,-68.217
1232.000,-69.013
1233.400,-68.780
1234.800,-68.560
1236.200,-70.100
1237.600,-70.376
1239.000,-70.671
1240.400,-70.968
1241.800,-71.288
1243.200,-71.365
1244.600,-69.461
1246.000,-68.142
1247.400,-67.845
1248.800,-67.568
1250.200,-67.169
1251.600,-67.649
1253.000,-68.190
1254.400,-67.945
1255.800,-67.714
1257.200,-67.520
1258.600,-67.319
1260.000,-67.128
1261.400,-67.689
1262.800,-68.335
1264.200,-69.988
1265.600,-70.353
1267.000,-70.750
1268.400,-69.519
1269.800,-68.560
1271.200,-67.157
1272.600,-67.414
1274.000,-67.688
1275.400,-68.600
1276.800,-69.756
1278.200,-70.150
