Wavelength [nm],Transmission [dB]
844.200,-61.195
845.600,-60.307
847.000,-59.569
848.400,-58.594
849.800,-57.799
851.200,-57.610
852.600,-58.197
854.000,-58.877
855.400,-59.713
856.800,-60.750
858.200,-60.370
859.600,-59.866
861.000,-59.415
862.400,-59.069
863.800,-58.748
865.200,-58.980
866.600,-59.584
868.000,-60.286
869.400,-60.929
870.800,-61.685
872.200,-61.691
873.600,-61.181
875.000,-60.724
876.400,-60.523
877.800,-60.331
879.200,-60.186
880.600,-60.441
882.000,-60.711
883.400,-61.467
884.800,-62.383
886.200,-62.915
887.600,-62.490
889.000,-62.104
890.400,-61.424
891.800,-60.836
893.200,-60.018
894.600,-60.265
896.000,-60.527
897.400,-61.133
898.800,-61.838
900.200,-62.346
901.600,-62.203
903.000,-62.064
904.400,-60.960
905.800,-60.081
907.200,-59.002
908.600,-58.912
910.000,-58.824
911.400,-59.800
912.800,-61.060
914.200,-62.366
915.600,-62.621
917.000,-62.892
918.400,-61.521
919.800,-60.481
921.200,-59.285
922.600,-58.714
924.000,-58.210
925.400,-58.900
926.800,-59.722
928.200,-60.725
929.600,-62.147
931.000,-64.276
932.400,-63.895
933.800,-63.545
935.200,-61.795
936.600,-60.832
938.000,-60.045
939.400,-59.876
940.800,-59.713
942.200,-60.340
943.600,-61.099
945.000,-62.019
946.400,-62.968
947.800,-64.184
949.200,-63.092
950.600,-61.935
952.000,-61.022
953.400,-60.155
954.800,-59.432
956.200,-59.094
957.600,-59.280
959.000,-59.475
960.400,-60.480
961.800,-61.790
963.200,-63.588
964.600,-64.146
966.000,-64.787
967.400,-64.083
968.800,-63.477
970.200,-62.532
971.600,-61.973
973.000,-61.477
974.400,-60.869
975.800,-60.335
977.200,-60.530
978.600,-61.373
980.000,-62.420
981.400,-63.177
982.800,-64.095
984.200,-62.711
985.600,-61.827
987.000,-61.093
988.400,-60.924
989.800,-60.761
991.200,-60.798
992.600,-60.441
994.000,-60.112
995.400,-60.480
996.800,-60.882
998.200,-62.222
999.600,-62.927
1001.000,-63.769
1002.400,-63.162
1003.800,-62.629
1005.200,-62.258
1006.600,-61.846
1008.000,-61.470
1009.400,-61.662
1010.800,-61.863
1012.200,-62.051
1013.600,-62.198
1015.000,-62.349
1016.400,-62.566
1017.800,-62.794
1019.200,-63.996
1020.600,-63.925
1022.000,-63.855
1023.400,-62.485
1024.800,-61.445
1026.200,-60.910
1027.600,-60.887
1029.000,-60.864
1030.400,-60.774
1031.800,-60.686
1033.200,-60.847
1034.600,-61.430
1036.000,-62.103
1037.400,-63.008
1038.800,-64.153
1040.200,-63.635
1041.600,-62.726
1043.000,-61.976
1044.400,-61.841
1045.800,-61.711
1047.200,-61.995
1048.600,-61.879
1050.000,-61.766
1051.400,-61.749
1052.800,-61.731
1054.200,-61.591
1055.600,-62.486
1057.000,-63.614
1058.400,-62.866
1059.800,-62.228
1061.200,-60.143
1062.600,-55.695
1064.000,-53.544
1065.400,-53.694
1066.800,-53.850
1068.200,-59.405
1069.600,-59.825
1071.000,-60.289
1072.400,-59.848
1073.800,-59.448
1075.200,-58.958
1076.600,-58.363
1078.000,-57.840
1079.400,-56.434
1080.800,-55.374
